group,level,freq_rank,infinitive,english,also_adjective,also_adjective_note,eu,tu,ele_ela,nos,eles_elas_voces
Being & existing,A1,1,ser,to be (permanent/essential),,,sou,és,é,somos,são
Being & existing,A1,3,estar,to be (temporary/location),,,estou,estás,está,estamos,estão
Being & existing,A1,7,haver,to exist / there is/are,,,hei,hás,há,havemos,hão
Being & existing,A1,13,ficar,to stay / to become / to be located,,,fico,ficas,fica,ficamos,ficam
Being & existing,A1,25,parecer,to seem / to look like,,,pareço,pareces,parece,parecemos,parecem
Being & existing,A1,33,existir,to exist,,,existo,existes,existe,existimos,existem
Being & existing,A1,41,viver,to live,,,vivo,vives,vive,vivemos,vivem
Being & existing,A1,53,acontecer,to happen,,,aconteço,aconteces,acontece,acontecemos,acontecem
Being & existing,A1,64,ocorrer,to occur,,,ocorro,ocorres,ocorre,ocorremos,ocorrem
Being & existing,A1,69,morrer,to die,,,morro,morres,morre,morremos,morrem
Being & existing,A1,78,nascer,to be born,,,nasço,nasces,nasce,nascemos,nascem
Being & existing,A1,222,morar,to dwell,,,moro,moras,mora,moramos,moram
Being & existing,A2,72,aparecer,to appear,,,apareço,apareces,aparece,aparecemos,aparecem
Being & existing,A2,77,surgir,to arise,,,surjo,surges,surge,surgimos,surgem
Being & existing,A2,128,resultar,to result,,,resulto,resultas,resulta,resultamos,resultam
Being & existing,A2,139,ocupar,to occupy,,,ocupo,ocupas,ocupa,ocupamos,ocupam
Being & existing,A2,148,valer,to be worth,,,valho,vales,vale,valemos,valem
Being & existing,B1,151,conter,to contain,,,contenho,conténs,contém,contemos,contêm
Being & existing,B1,166,faltar,to be missing / to lack,,,falto,faltas,falta,faltamos,faltam
Being & existing,B1,177,depender,to depend,,,dependo,dependes,depende,dependemos,dependem
Being & existing,B1,225,desaparecer,to disappear,,,desapareço,desapareces,desaparece,desaparecemos,desaparecem
Being & existing,B1,243,bastar,to be enough,,,basto,bastas,basta,bastamos,bastam
Being & existing,B1,268,caber,to fit,,,caibo,cabes,cabe,cabemos,cabem
Being & existing,B2,80,representar,to represent,,,represento,representas,representa,representamos,representam
Being & existing,B2,172,permanecer,to remain,,,permaneço,permaneces,permanece,permanecemos,permanecem
Being & existing,B2,176,significar,to mean,,,significo,significas,significa,significamos,significam
Being & existing,B2,184,pertencer,to belong,,,pertenço,pertences,pertence,pertencemos,pertencem
Being & existing,B2,252,identificar,to identify,,,identifico,identificas,identifica,identificamos,identificam
Being & existing,B2,282,durar,to last,,,duro,duras,dura,duramos,duram
Being & existing,B2,299,merecer,to deserve,,,mereço,mereces,merece,merecemos,merecem
Being & existing,B2,304,suceder,to succeed,,,sucedo,sucedes,sucede,sucedemos,sucedem
Being & existing,B2,338,restar,to remain,,,resto,restas,resta,restamos,restam
Being & existing,C1,86,constituir,to constitute,,,constituo,constituis,constitui,constituímos,constituem
Being & existing,C1,236,consistir,to consist,,,consisto,consistes,consiste,consistimos,consistem
Being & existing,C1,250,corresponder,to correspond,,,correspondo,correspondes,corresponde,correspondemos,correspondem
Being & existing,C1,259,caracterizar,to characterize,,,caracterizo,caracterizas,caracteriza,caracterizamos,caracterizam
Being & existing,C1,274,decorrer,to elapse / to take place,,,decorro,decorres,decorre,decorremos,decorrem
Being & existing,C1,387,basear,to base,,,baseio,baseias,baseia,baseamos,baseiam
Being & existing,C1,439,tender,to tend,,,tendo,tendes,tende,tendemos,tendem
Being & existing,C2,460,constar,to appear / to be listed,,,consto,constas,consta,constamos,constam
Being & existing,C2,476,residir,to reside,,,resido,resides,reside,residimos,residem
Being & existing,C2,491,sobreviver,to survive,,,sobrevivo,sobrevives,sobrevive,sobrevivemos,sobrevivem
Being & existing,C2,493,situar,to situate,,,situo,situas,situa,situamos,situam
"Becoming, changing & causing",A1,28,tornar,to become,,,torno,tornas,torna,tornamos,tornam
"Becoming, changing & causing",A1,111,mudar,to change,,,mudo,mudas,muda,mudamos,mudam
"Becoming, changing & causing",A2,107,aumentar,to increase,,,aumento,aumentas,aumenta,aumentamos,aumentam
"Becoming, changing & causing",A2,116,provocar,to provoke / to cause,,,provoco,provocas,provoca,provocamos,provocam
"Becoming, changing & causing",A2,133,crescer,to grow,,,cresço,cresces,cresce,crescemos,crescem
"Becoming, changing & causing",B1,159,causar,to cause,,,causo,causas,causa,causamos,causam
"Becoming, changing & causing",B1,164,transformar,to transform,,,transformo,transformas,transforma,transformamos,transformam
"Becoming, changing & causing",B1,183,reduzir,to reduce,,,reduzo,reduzes,reduz,reduzimos,reduzem
"Becoming, changing & causing",B1,189,estender,to extend,,,estendo,estendes,estende,estendemos,estendem
"Becoming, changing & causing",B1,190,acrescentar,to add,,,acrescento,acrescentas,acrescenta,acrescentamos,acrescentam
"Becoming, changing & causing",B1,200,gerar,to generate,,,gero,geras,gera,geramos,geram
"Becoming, changing & causing",B1,241,completar,to complete,,,completo,completas,completa,completamos,completam
"Becoming, changing & causing",B1,273,variar,to vary,,,vario,varias,varia,variamos,variam
"Becoming, changing & causing",B1,289,melhorar,to improve,,,melhoro,melhoras,melhora,melhoramos,melhoram
"Becoming, changing & causing",B1,318,diminuir,to decline,,,diminuo,diminuis,diminui,diminuímos,diminuem
"Becoming, changing & causing",B2,297,limitar,to limit,,,limito,limitas,limita,limitamos,limitam
"Becoming, changing & causing",B2,298,encher,to fill,,,encho,enches,enche,enchemos,enchem
"Becoming, changing & causing",B2,313,alterar,to change,,,altero,alteras,altera,alteramos,alteram
"Becoming, changing & causing",B2,348,misturar,to mix,,,misturo,misturas,mistura,misturamos,misturam
"Becoming, changing & causing",B2,367,influenciar,to influence,,,influencio,influencias,influencia,influenciamos,influenciam
"Becoming, changing & causing",C1,344,afectar,to affect,,,afeto,afetas,afeta,afetamos,afetam
"Becoming, changing & causing",C1,395,derivar,to derive,,,derivo,derivas,deriva,derivamos,derivam
"Becoming, changing & causing",C1,412,facilitar,to facilitate,,,facilito,facilitas,facilita,facilitamos,facilitam
"Becoming, changing & causing",C1,414,reforçar,to strengthen,,,reforço,reforças,reforça,reforçamos,reforçam
"Becoming, changing & causing",C1,416,implicar,to implicate,,,implico,implicas,implica,implicamos,implicam
"Becoming, changing & causing",C1,434,originar,to originate,,,origino,originas,origina,originamos,originam
"Becoming, changing & causing",C1,437,acumular,to accumulate,,,acumulo,acumulas,acumula,acumulamos,acumulam
"Becoming, changing & causing",C2,456,inspirar,to inspire,,,inspiro,inspiras,inspira,inspiramos,inspiram
"Becoming, changing & causing",C2,462,prejudicar,to harm,,,prejudico,prejudicas,prejudica,prejudicamos,prejudicam
"Becoming, changing & causing",C2,482,elevar,to raise,,,elevo,elevas,eleva,elevamos,elevam
"Becoming, changing & causing",C2,483,modificar,to modify,,,modifico,modificas,modifica,modificamos,modificam
"Becoming, changing & causing",C2,484,combinar,to combine,,,combino,combinas,combina,combinamos,combinam
"Becoming, changing & causing",C2,489,beneficiar,to benefit,,,beneficio,beneficias,beneficia,beneficiamos,beneficiam
"Becoming, changing & causing",C2,492,adaptar,to adapt,,,adapto,adaptas,adapta,adaptamos,adaptam
"Having, needing & ability",A1,2,ter,to have,,,tenho,tens,tem,temos,têm
"Having, needing & ability",A1,4,poder,to be able to,,,posso,podes,pode,podemos,podem
"Having, needing & ability",A1,14,dever,must / should / to owe,,,devo,deves,deve,devemos,devem
"Having, needing & ability",A1,31,conseguir,to manage / to be able to,,,consigo,consegues,consegue,conseguimos,conseguem
"Having, needing & ability",A1,59,manter,to maintain,,,mantenho,manténs,mantém,mantemos,mantêm
